"simulation_run_id","model_class_label","innovation_rate","pop_richness","ssize_25","expected_25","sd_25","ssize_50","expected_50","sd_50"
"urn:uuid:b707061d-28a0-4273-b7c8-525bd7df4eee","pureneutral","0.848579674418","8","6","3.437422125638","1.3978688998890911","5","4.036843799731375","1.593260977725475"
"urn:uuid:b707061d-28a0-4273-b7c8-525bd7df4eee","pureneutral","0.848579674418","15","11","3.437422125638","1.3978688998890911","12","4.036843799731375","1.593260977725475"
"urn:uuid:b707061d-28a0-4273-b7c8-525bd7df4eee","pureneutral","0.848579674418","11","8","3.437422125638","1.3978688998890911","6","4.036843799731375","1.593260977725475"
"urn:uuid:b707061d-28a0-4273-b7c8-525bd7df4eee","pureneutral","0.848579674418","14","10","3.437422125638","1.3978688998890911","10","4.036843799731375","1.593260977725475"
"urn:uuid:cccd9753-2525-42c6-8eea-2074eff879c0","pureneutral","2.126626469","24","13","5.831905030368566","1.8183506357510284","19","7.279709292519435","2.1603416074303423"
"urn:uuid:cccd9753-2525-42c6-8eea-2074eff879c0","pureneutral","2.126626469","16","12","5.831905030368566","1.8183506357510284","13","7.279709292519435","2.1603416074303423"
"urn:uuid:cccd9753-2525-42c6-8eea-2074eff879c0","pureneutral","2.126626469","19","9","5.831905030368566","1.8183506357510284","13","7.279709292519435","2.1603416074303423"
"urn:uuid:cccd9753-2525-42c6-8eea-2074eff879c0","pureneutral","2.126626469","25","12","5.831905030368566","1.8183506357510284","17","7.279709292519435","2.1603416074303423"
"urn:uuid:3c9b30db-8177-4cdb-93ee-64ae996801a1","pureneutral","1.01588416067","17","8","3.810354769897899","1.481020095059773","13","4.52444002062252","1.6988987940535518"
"urn:uuid:3c9b30db-8177-4cdb-93ee-64ae996801a1","pureneutral","1.01588416067","13","9","3.810354769897899","1.481020095059773","11","4.52444002062252","1.6988987940535518"
"urn:uuid:3c9b30db-8177-4cdb-93ee-64ae996801a1","pureneutral","1.01588416067","12","8","3.810354769897899","1.481020095059773","7","4.52444002062252","1.6988987940535518"
"urn:uuid:3c9b30db-8177-4cdb-93ee-64ae996801a1","pureneutral","1.01588416067","20","12","3.810354769897899","1.481020095059773","18","4.52444002062252","1.6988987940535518"
"urn:uuid:a0af334d-eba6-4175-af95-ffc343c45f32","pureneutral","0.482544099542","7","4","2.5235625580233165","1.145505669559077","7","2.868138950984825","1.2852258507057421"
"urn:uuid:a0af334d-eba6-4175-af95-ffc343c45f32","pureneutral","0.482544099542","5","4","2.5235625580233165","1.145505669559077","4","2.868138950984825","1.2852258507057421"
"urn:uuid:a0af334d-eba6-4175-af95-ffc343c45f32","pureneutral","0.482544099542","12","7","2.5235625580233165","1.145505669559077","9","2.868138950984825","1.2852258507057421"
"urn:uuid:a0af334d-eba6-4175-af95-ffc343c45f32","pureneutral","0.482544099542","7","5","2.5235625580233165","1.145505669559077","7","2.868138950984825","1.2852258507057421"
"urn:uuid:03021a9d-4a4a-4452-beb8-67fc64831b9b","pureneutral","0.816780376358","17","7","3.363723335745275","1.3803239362810296","12","3.941223342507008","1.5712702036276565"
"urn:uuid:03021a9d-4a4a-4452-beb8-67fc64831b9b","pureneutral","0.816780376358","12","8","3.363723335745275","1.3803239362810296","10","3.941223342507008","1.5712702036276565"
"urn:uuid:03021a9d-4a4a-4452-beb8-67fc64831b9b","pureneutral","0.816780376358","16","10","3.363723335745275","1.3803239362810296","14","3.941223342507008","1.5712702036276565"
"urn:uuid:03021a9d-4a4a-4452-beb8-67fc64831b9b","pureneutral","0.816780376358","11","5","3.363723335745275","1.3803239362810296","9","3.941223342507008","1.5712702036276565"
"urn:uuid:73aacea6-c4bf-498b-a4ac-fb5b99ff651c","pureneutral","0.960065995128","18","11","3.688577913149573","1.4548388267761392","12","4.36453270869623","1.6653733137576534"
"urn:uuid:73aacea6-c4bf-498b-a4ac-fb5b99ff651c","pureneutral","0.960065995128","11","8","3.688577913149573","1.4548388267761392","8","4.36453270869623","1.6653733137576534"
"urn:uuid:73aacea6-c4bf-498b-a4ac-fb5b99ff651c","pureneutral","0.960065995128","13","10","3.688577913149573","1.4548388267761392","10","4.36453270869623","1.6653733137576534"
